City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hay River,CA,2021-01-13 17:25:56,60.8156,-115.7999,23.0,93,96,5.75
1,Tasiilaq,GL,2021-01-13 17:25:56,65.6145,-37.6368,32.0,86,90,35.68
2,Cherskiy,RU,2021-01-13 17:25:56,68.75,161.3,-16.53,86,100,11.32
3,Toamasina,MG,2021-01-13 17:25:56,-18.1667,49.3833,78.8,89,20,2.39
4,Touros,BR,2021-01-13 17:25:56,-5.1989,-35.4608,86.0,58,20,16.11
5,Lagos,NG,2021-01-13 17:24:34,6.5833,3.75,87.8,70,20,11.5
6,Kapaa,US,2021-01-13 17:25:57,22.0752,-159.319,66.2,88,1,5.75
7,Ushuaia,AR,2021-01-13 17:21:24,-54.8,-68.3,53.6,62,75,3.44
8,Puerto Ayora,EC,2021-01-13 17:25:57,-0.7393,-90.3518,87.8,51,40,16.11
9,Gorontalo,ID,2021-01-13 17:25:57,0.5412,123.0595,77.14,87,100,3.09
10,Victoria,HK,2021-01-13 17:24:16,22.2855,114.1577,55.0,61,40,7.94
11,Rikitea,PF,2021-01-13 17:25:57,-23.1203,-134.9692,77.56,79,31,17.05
12,Chimbote,PE,2021-01-13 17:24:37,-9.0853,-78.5783,75.85,70,66,13.62
13,Acapulco,MX,2021-01-13 17:22:12,16.8634,-99.8901,86.0,51,75,2.3
14,Constitucion,CL,2021-01-13 17:25:58,-35.3333,-72.4167,67.19,43,14,9.51
15,Mataura,NZ,2021-01-13 17:25:58,-46.1927,168.8643,55.99,86,17,1.01
16,Saint-Philippe,RE,2021-01-13 17:25:58,-21.3585,55.7679,80.6,83,75,2.3
17,Port Blair,IN,2021-01-13 17:25:58,11.6667,92.75,77.54,78,0,11.83
18,Dikson,RU,2021-01-13 17:25:58,73.5069,80.5464,-26.03,86,24,9.1
19,Bethel,US,2021-01-13 17:25:58,41.3712,-73.414,35.6,60,90,4.61
20,Xinqing,CN,2021-01-13 17:25:59,48.2333,129.5,-5.66,90,100,3.24
21,Busselton,AU,2021-01-13 17:25:59,-33.65,115.3333,59.0,66,100,3.0
22,Royan,FR,2021-01-13 17:25:59,45.6285,-1.0281,48.2,100,75,8.05
23,Bodo,NO,2021-01-13 17:25:09,67.28,14.405,24.01,68,40,16.11
24,Albany,US,2021-01-13 17:25:59,42.6001,-73.9662,34.0,63,74,3.36
25,Nikolskoye,RU,2021-01-13 17:25:59,59.7035,30.7861,6.8,78,40,15.66
26,Atuona,PF,2021-01-13 17:25:59,-9.8,-139.0333,76.96,80,40,15.61
27,Vaini,TO,2021-01-13 17:25:59,-21.2,-175.2,75.2,100,40,4.61
28,Porto Velho,BR,2021-01-13 17:23:23,-8.7619,-63.9039,86.0,66,40,4.61
29,Tiksi,RU,2021-01-13 17:26:00,71.6872,128.8694,-33.47,80,35,2.91
30,Chokurdakh,RU,2021-01-13 17:26:00,70.6333,147.9167,-37.46,83,48,2.75
31,Las Palmas,ES,2021-01-13 17:26:00,28.4204,-14.0131,66.2,34,20,6.91
32,Hobart,AU,2021-01-13 17:26:00,-42.8794,147.3294,60.8,67,56,8.05
33,Camacha,PT,2021-01-13 17:26:00,33.0833,-16.3333,60.8,48,20,9.22
34,La Ronge,CA,2021-01-13 17:26:00,55.1001,-105.2842,21.2,79,100,3.44
35,Norman Wells,CA,2021-01-13 17:26:00,65.282,-126.8329,3.2,92,90,13.8
36,Hilo,US,2021-01-13 17:26:00,19.7297,-155.09,69.8,83,75,5.75
37,Waverley,ZA,2021-01-13 17:26:00,-25.7023,28.2591,75.2,60,68,11.5
38,Sarh,TD,2021-01-13 17:26:00,9.1429,18.3923,86.0,28,0,3.69
39,Deputatskiy,RU,2021-01-13 17:26:01,69.3,139.9,-37.52,74,50,0.87
40,Santa Rosa,PH,2021-01-13 17:25:23,14.3122,121.1114,77.0,83,75,2.3
41,Cape Town,ZA,2021-01-13 17:23:32,-33.9258,18.4232,80.6,54,0,17.27
42,Avarua,CK,2021-01-13 17:26:01,-21.2078,-159.775,80.6,78,20,6.91
43,Severo-Kurilsk,RU,2021-01-13 17:26:01,50.6789,156.125,18.18,87,67,13.89
44,Thompson,CA,2021-01-13 17:26:01,55.7435,-97.8558,28.4,100,90,5.41
45,Hermanus,ZA,2021-01-13 17:26:01,-34.4187,19.2345,71.01,83,64,7.0
46,Topolobampo,MX,2021-01-13 17:26:01,25.6,-109.05,66.0,59,1,8.05
47,Beidao,CN,2021-01-13 17:26:01,34.5686,105.8933,33.06,73,14,4.5
48,Biak,ID,2021-01-13 17:26:01,-0.9131,122.8766,78.13,81,100,3.31
49,Labuan,MY,2021-01-13 17:26:01,5.2767,115.2417,80.6,83,40,9.22
50,Carnarvon,AU,2021-01-13 17:26:02,-24.8667,113.6333,77.0,94,0,18.41
51,Kimbe,PG,2021-01-13 17:21:24,-5.5502,150.1429,78.08,85,95,0.98
52,Tuktoyaktuk,CA,2021-01-13 17:26:02,69.4541,-133.0374,-14.8,76,40,5.75
53,Sao Joao Da Barra,BR,2021-01-13 17:23:17,-21.6403,-41.0511,87.8,51,0,20.71
54,Yellowknife,CA,2021-01-13 17:26:02,62.456,-114.3525,18.0,93,90,6.91
55,Moree,AU,2021-01-13 17:26:02,-29.4667,149.85,71.6,60,0,10.36
56,Ust-Tsilma,RU,2021-01-13 17:26:02,65.441,52.1498,-12.64,85,65,3.22
57,Zaysan,KZ,2021-01-13 17:26:02,47.4667,84.8667,1.47,92,100,3.76
58,Souillac,MU,2021-01-13 17:26:02,-20.5167,57.5167,77.0,88,40,5.75
59,Khatanga,RU,2021-01-13 17:26:02,71.9667,102.5,-24.66,85,100,12.33
60,Clyde River,CA,2021-01-13 17:21:57,70.4692,-68.5914,-18.4,83,40,5.75
61,Ornskoldsvik,SE,2021-01-13 17:26:02,63.2909,18.7153,10.4,92,90,12.66
62,Torbay,CA,2021-01-13 17:26:02,47.6666,-52.7314,30.0,84,28,1.99
63,Hambantota,LK,2021-01-13 17:26:02,6.1241,81.1185,76.8,87,100,7.7
64,Jamestown,US,2021-01-13 17:25:03,42.097,-79.2353,32.0,93,90,13.38
65,Rawson,AR,2021-01-13 17:22:36,-43.3002,-65.1023,75.85,25,32,22.08
66,Butaritari,KI,2021-01-13 17:26:03,3.0707,172.7902,80.92,78,83,20.8
67,Kaitangata,NZ,2021-01-13 17:26:03,-46.2817,169.8464,54.73,97,72,0.58
68,East London,ZA,2021-01-13 17:26:03,-33.0153,27.9116,71.6,94,90,10.36
69,Mayo,US,2021-01-13 17:26:03,38.8876,-76.5119,48.0,65,1,9.22
70,Oudtshoorn,ZA,2021-01-13 17:26:03,-33.5907,22.2014,66.2,94,90,14.97
71,Griffith,US,2021-01-13 17:26:03,41.5284,-87.4237,39.99,81,1,11.5
72,Sao Filipe,CV,2021-01-13 17:26:03,14.8961,-24.4956,73.17,71,31,12.48
73,Port Alfred,ZA,2021-01-13 17:26:03,-33.5906,26.891,69.01,93,100,19.13
74,Derbent,RU,2021-01-13 17:26:03,42.0678,48.2899,55.76,57,93,9.71
75,Cabo San Lucas,MX,2021-01-13 17:25:07,22.8909,-109.9124,70.0,32,75,4.61
76,New Norfolk,AU,2021-01-13 17:26:04,-42.7826,147.0587,57.99,65,56,5.99
77,Bandraboua,YT,2021-01-13 17:26:04,-12.7044,45.1223,82.4,74,0,5.75
78,Upernavik,GL,2021-01-13 17:26:04,72.7868,-56.1549,12.18,96,100,17.85
79,Ostroh,UA,2021-01-13 17:26:04,50.3294,26.5143,29.37,98,100,13.49
80,Cidreira,BR,2021-01-13 17:26:04,-30.1811,-50.2056,73.54,69,95,12.15
81,Leh,IN,2021-01-13 17:26:04,34.1667,77.5833,7.9,28,0,1.3
82,Yatou,CN,2021-01-13 17:26:04,37.15,122.3833,31.8,91,0,5.86
83,Paracatu,BR,2021-01-13 17:26:04,-17.2222,-46.8747,84.34,60,89,4.41
84,Punta Arenas,CL,2021-01-13 17:24:15,-53.15,-70.9167,57.2,51,90,25.32
85,Trat,TH,2021-01-13 17:26:04,12.5,102.5,65.14,62,0,3.76
86,Muros,ES,2021-01-13 17:26:05,42.7762,-9.0603,51.01,74,3,2.53
87,Mahebourg,MU,2021-01-13 17:26:05,-20.4081,57.7,77.0,88,40,5.75
88,Harper,LR,2021-01-13 17:26:05,4.375,-7.7169,81.72,76,88,9.24
89,Lodwar,KE,2021-01-13 17:26:05,3.1191,35.5973,88.16,31,18,10.02
90,Belmonte,BR,2021-01-13 17:26:05,-15.8631,-38.8828,82.4,65,40,12.66
91,Pevek,RU,2021-01-13 17:26:05,69.7008,170.3133,-16.47,89,99,3.62
92,Castro,BR,2021-01-13 17:26:05,-24.7911,-50.0119,79.18,68,81,6.11
93,Andenes,NO,2021-01-13 17:26:05,69.3143,16.1194,27.0,80,0,9.22
94,Asfi,MA,2021-01-13 17:26:05,32.2994,-9.2372,58.96,61,0,15.08
95,Lazarev,RU,2021-01-13 17:26:05,52.225,141.5131,-4.81,92,100,18.05
96,Uttaradit,TH,2021-01-13 17:26:05,17.6667,100.5,64.0,51,3,2.24
97,Lompoc,US,2021-01-13 17:25:16,34.6391,-120.4579,57.0,81,1,3.44
98,Kavaratti,IN,2021-01-13 17:26:05,10.5669,72.642,77.07,76,100,4.47
99,Ouro Fino,BR,2021-01-13 17:26:05,-22.2831,-46.3692,77.0,69,75,1.07
100,Hasaki,JP,2021-01-13 17:26:05,35.7333,140.8333,33.8,86,40,3.44
101,Geraldton,AU,2021-01-13 17:26:05,-28.7667,114.6,73.4,73,0,12.66
102,Saint George,US,2021-01-13 17:26:05,37.1041,-113.5841,30.2,43,1,5.75
103,Kotido,UG,2021-01-13 17:26:06,2.9806,34.1331,80.56,30,40,17.36
104,Ovre Ardal,NO,2021-01-13 17:26:06,61.3167,7.8,14.0,67,0,2.3
105,Klaksvik,FO,2021-01-13 17:26:06,62.2266,-6.589,39.2,81,75,17.27
106,Teya,RU,2021-01-13 17:26:06,60.3778,92.6267,-12.51,86,100,6.91
107,Manokwari,ID,2021-01-13 17:26:06,-0.8667,134.0833,78.96,77,98,3.8
108,Nyurba,RU,2021-01-13 17:26:06,63.2842,118.3319,-20.49,87,100,4.81
109,Amarante Do Maranhao,BR,2021-01-13 17:26:06,-5.5667,-46.7422,90.01,54,8,2.35
110,Berlevag,NO,2021-01-13 17:26:06,70.8578,29.0864,14.0,67,75,26.46
111,Mulege,MX,2021-01-13 17:26:06,26.8833,-111.9833,65.55,27,0,10.38
112,Auki,SB,2021-01-13 17:26:06,-8.7676,160.7034,77.61,86,77,4.29
113,Shubarkuduk,KZ,2021-01-13 17:26:06,49.1447,56.4872,3.06,90,96,15.1
114,Asosa,ET,2021-01-13 17:26:06,10.0667,34.5333,69.62,28,9,4.05
115,Troitsko-Pechorsk,RU,2021-01-13 17:26:06,62.7084,56.1964,-19.05,87,15,0.22
116,Bowen,AU,2021-01-13 17:26:06,-20.0167,148.2333,75.2,88,90,12.66
117,Pisco,PE,2021-01-13 17:26:06,-13.7,-76.2167,75.2,73,0,8.05
